dfo_began,dfo_ended,threshold_type,dfo_centroid_x,dfo_centroid_y,dfo_cause,gfd_area,cluster,event_index
7/11/2000,8/10/2000,otsu,105.063841,11.242567,Heavy rain,4322.47,0,2
8/30/2000,9/10/2000,otsu,132.057679,43.773883,"Tropical Storm, Surge",740.33,1,3
8/15/2001,11/19/2001,std,105.382431,11.768371,Heavy rain,26908.55,2,9
8/20/2001,9/11/2001,otsu,83.051328,26.755588,Heavy rain,4464.14,3,10
9/7/2001,9/24/2001,std,84.869961,26.532079,Heavy rain,4077.14,4,11
10/1/2001,12/1/2001,std,-61.214816,-32.897203,Heavy rain,16681.2,5,13
1/15/2002,4/2/2002,std,-50.481932,-11.878068,Heavy rain,3531.56,6,18
5/6/2002,5/28/2002,std,-57.810991,-26.67674,Heavy rain,2757.81,7,23
4/23/2002,5/9/2002,std,-55.950506,-32.486429,Heavy rain,3700.46,8,24
6/21/2002,8/28/2002,std,89.269578,25.841781,Heavy rain,27063.5,9,30
7/6/2002,7/19/2002,std,120.562734,15.340286,Heavy rain,1468.63,10,34
7/20/2002,7/26/2002,otsu,132.379911,43.882229,Heavy rain,306.4,1,39
9/3/2002,9/6/2002,std,73.220062,21.539107,Heavy rain,114.39,11,53
9/8/2002,9/12/2002,std,4.447589,44.034528,Heavy rain,146.01,12,54
9/6/2002,9/19/2002,std,-96.029696,29.65109,Heavy rain,806.01,13,55
9/20/2002,9/30/2002,std,105.175058,18.577824,Heavy rain,6721.21,14,56
9/21/2002,10/8/2002,std,19.773795,41.397529,Heavy rain,349.95,15,57
9/26/2002,9/29/2002,std,-90.011936,29.87028,"Tropical Storm, Surge",1822.29,16,59
10/23/2002,11/13/2002,std,-96.029696,29.65109,Heavy rain,2691.0,13,65
12/13/2002,12/14/2002,std,4.145883,43.730782,Heavy rain,725.22,12,71
1/30/2003,2/9/2003,std,107.641486,-7.046763,Heavy rain,656.64,17,88
2/16/2003,2/17/2003,otsu,107.603981,-6.973194,Heavy rain,478.05,17,91
1/27/2003,2/7/2003,std,22.223743,39.608875,Heavy rain,1157.06,18,98
1/11/2003,4/22/2003,std,-50.481932,-11.878068,Heavy rain,4622.59,6,99
1/17/2003,3/3/2003,std,26.714824,41.591029,Heavy rain,2621.4,19,100
2/4/2003,3/12/2003,std,28.31203,38.089335,Heavy rain,2158.44,20,101
3/2/2003,3/11/2003,std,124.222901,-17.970507,Heavy rain,1737.73,21,102
3/11/2003,3/15/2003,std,27.689975,-16.066257,Heavy rain,416.15,22,107
6/23/2003,7/28/2003,std,118.401191,28.83099,Heavy rain,14553.62,23,119
6/25/2003,6/26/2003,std,124.376833,7.043913,Heavy rain,457.28,24,120
7/1/2003,8/7/2003,std,115.717939,32.51656,Heavy rain,7778.61,25,121
7/2/2003,9/1/2003,std,95.503476,20.574716,Heavy rain,10302.48,26,123
7/19/2003,7/23/2003,std,121.26678,16.501894,"Tropical Storm, Surge",437.9,27,125
8/3/2003,11/2/2003,std,20.249655,10.996461,Heavy rain,6827.49,28,127
8/24/2003,8/27/2003,std,147.481311,-41.693254,Heavy rain,59.17,29,132
8/27/2003,10/20/2003,std,85.893641,20.625759,Heavy rain,8236.7,30,136
9/22/2003,9/23/2003,std,4.157209,43.723115,Heavy rain,213.19,12,142
10/27/2003,10/31/2003,std,-53.268681,-29.928802,Heavy rain,721.56,31,147
11/10/2003,11/26/2003,std,-70.982583,19.479425,Heavy rain,224.79,32,148
11/11/2003,11/13/2003,std,-61.685982,-32.712168,Heavy rain,6032.4,5,149
12/19/2003,1/7/2004,std,125.765745,8.881978,Heavy rain,943.65,33,153
1/29/2004,2/5/2004,std,147.369055,-41.406343,Heavy rain,126.34,29,158
1/24/2004,2/14/2004,std,27.983815,38.156763,Heavy rain,2304.48,20,163
2/11/2004,2/25/2004,std,125.744039,8.22929,Heavy rain,620.75,33,164
2/17/2004,2/25/2004,std,108.143784,-6.409578,Heavy rain,586.91,34,165
2/11/2004,5/5/2004,std,-50.481932,-11.878068,Heavy rain,23201.91,6,166
2/20/2004,3/7/2004,std,124.624336,-17.94512,Heavy rain,2465.56,21,168
3/5/2004,3/19/2004,std,34.557547,-19.186526,Heavy rain,396.16,35,171
4/14/2004,5/3/2004,std,91.694661,24.894242,Heavy rain,10032.44,36,177
5/7/2004,5/11/2004,std,116.827676,-0.527894,Heavy rain,1173.82,37,179
5/13/2004,5/15/2004,otsu,-96.516582,30.845334,Heavy rain,323.25,38,180
6/28/2004,6/30/2004,otsu,124.576171,7.377152,Heavy rain,493.68,24,185
6/29/2004,7/13/2004,otsu,121.410242,17.503304,"Tropical Storm, Surge",4770.37,39,187
7/5/2004,8/11/2004,std,86.252493,27.086351,Heavy rain,18241.79,40,188
7/31/2004,8/13/2004,otsu,124.577333,7.021074,Heavy rain,1283.48,24,191
8/24/2004,9/12/2004,std,120.754097,15.547408,"Tropical Storm, Surge",1069.4,10,193
8/24/2004,10/21/2004,std,105.823877,10.317911,Heavy rain,35937.28,41,194
9/15/2004,10/1/2004,otsu,-81.966354,28.800636,"Tropical Storm, Surge",7588.46,42,196
11/7/2004,12/15/2004,std,-57.505862,-26.543492,Heavy rain,14528.12,7,200
11/19/2004,11/29/2004,std,123.386648,13.431255,"Tropical Storm, Surge",806.98,43,201
11/23/2004,11/28/2004,otsu,121.706238,16.388864,"Tropical Storm, Surge",1515.14,27,203
11/29/2004,12/22/2004,otsu,121.242952,15.17884,Heavy rain,2774.94,10,204
12/11/2004,12/23/2004,std,81.314727,7.938183,Heavy rain,667.59,44,210
2/17/2005,3/24/2005,std,26.418711,41.428248,Heavy rain,1529.01,19,216
2/19/2005,2/25/2005,otsu,107.602907,-6.958962,Heavy rain,1716.03,17,217
5/25/2005,5/28/2005,std,91.64239,24.598004,Heavy rain,5407.34,36,227
6/23/2005,6/30/2005,std,89.11453,25.961407,Heavy rain,2491.27,9,230
6/28/2005,7/15/2005,std,73.07388,21.43303,Heavy rain,947.04,11,231
6/30/2005,7/3/2005,std,153.288976,-28.519498,Heavy rain,148.25,45,232
7/10/2005,7/18/2005,std,115.759987,32.605462,Heavy rain,1479.71,25,240
8/29/2005,9/19/2005,std,-90.320072,30.191041,"Tropical Storm, Surge",3063.62,16,248
8/30/2005,9/3/2005,std,147.09513,-41.553605,Heavy rain,135.01,29,249
9/1/2005,9/4/2005,std,118.553658,28.58392,"Tropical Storm, Surge",1925.06,23,251
9/7/2005,9/9/2005,std,4.186194,44.057063,Heavy rain,209.23,12,252
9/8/2005,11/1/2005,std,105.734716,10.707097,Heavy rain,36396.37,41,253
9/14/2005,9/30/2005,std,82.538893,21.113878,Heavy rain,10524.92,46,255
9/15/2005,9/27/2005,std,120.982766,15.300986,Heavy rain,587.57,10,256
9/16/2005,10/5/2005,std,79.373434,28.197268,Heavy rain,15836.28,47,257
9/18/2005,9/24/2005,std,105.54951,18.760138,"Tropical Storm, Surge",3613.48,14,258
9/22/2005,10/11/2005,std,73.473279,21.713895,Heavy rain,3548.35,11,260
10/1/2005,10/16/2005,std,-89.595064,13.979731,"Tropical Storm, Surge",3929.5,48,266
10/3/2005,10/22/2005,std,88.977022,25.640627,Heavy rain,19555.37,9,268
10/23/2005,12/9/2005,std,78.731712,11.780352,Heavy rain,4035.46,49,272
11/23/2005,1/12/2006,std,100.124152,7.204666,Heavy rain,1035.64,50,275
1/8/2006,1/12/2006,std,108.21491,-6.381345,Heavy rain,894.81,34,278
1/8/2006,2/14/2006,std,-58.662739,6.891823,Heavy rain,516.47,51,280
1/26/2006,2/5/2006,std,121.817032,17.01728,Heavy rain,999.16,39,281
1/26/2006,2/14/2006,std,108.592918,-6.8528,Heavy rain,1345.59,34,283
4/4/2006,4/17/2006,std,-120.675334,37.691104,Heavy rain,2173.66,52,291
4/29/2006,5/5/2006,std,94.945666,18.367934,"Tropical Storm, Surge",2934.42,53,292
5/31/2006,7/24/2006,std,94.024532,26.599281,Heavy rain,21448.16,54,295
7/4/2006,7/7/2006,otsu,71.309729,22.411409,Heavy rain,6404.96,55,300
8/10/2006,11/1/2006,std,104.674574,11.061775,Heavy rain,41258.53,0,311
8/24/2006,10/10/2006,std,45.444397,3.104364,Heavy rain,134.91,56,315
12/17/2006,12/20/2006,std,81.662316,6.844545,Heavy rain,17.45,57,324
1/10/2007,1/24/2007,std,125.216707,7.711826,Heavy rain,945.34,24,326
5/4/2007,5/9/2007,std,96.131258,16.908898,Heavy rain,1917.42,58,333
5/4/2007,5/25/2007,std,-55.802561,-32.765868,Heavy rain,7307.52,8,335
5/15/2007,6/5/2007,std,116.91957,-0.1883,Heavy rain,2506.96,37,340
5/30/2007,6/3/2007,std,-71.053795,19.547861,Heavy rain,100.92,32,344
6/15/2007,6/18/2007,std,85.862693,26.948499,Heavy rain,434.5,40,350
6/16/2007,6/20/2007,std,123.095573,0.617594,Heavy rain,783.27,59,352
6/18/2007,6/26/2007,std,94.018895,26.255772,Heavy rain,19694.38,54,353
6/26/2007,7/20/2007,std,67.90249,25.256271,"Tropical Storm, Surge",6166.82,60,357
6/28/2007,7/22/2007,std,71.869938,34.27492,Heavy rain,1284.05,61,361
7/6/2007,8/1/2007,std,95.317389,18.52419,Heavy rain,7735.3,53,367
7/10/2007,7/13/2007,std,173.92898,-35.805428,Heavy rain,58.87,62,368
7/12/2007,10/10/2007,std,95.262997,27.577302,Heavy rain,65675.32,63,369
7/21/2007,10/15/2007,std,91.233643,23.916419,Heavy rain,78785.53,64,372
8/3/2007,8/27/2007,std,86.19782,20.452499,Heavy rain,8791.4,30,380
8/4/2007,10/21/2007,std,11.74837,10.292106,Heavy rain,4610.12,65,381
8/8/2007,8/15/2007,std,70.925042,22.682373,Heavy rain,2705.01,55,383
8/12/2007,8/17/2007,std,76.526785,31.238835,Heavy rain,7275.37,66,386
9/1/2007,10/4/2007,std,45.426922,2.978113,Heavy rain,42.68,56,396
9/4/2007,9/12/2007,std,-98.494275,21.846197,"Tropical Storm, Surge",2066.84,67,397
9/5/2007,11/10/2007,std,102.480218,16.81984,Heavy rain,21787.66,68,398
9/24/2007,10/2/2007,std,-52.671442,-30.251602,Heavy rain,4410.14,69,403
10/20/2007,11/16/2007,std,105.514427,11.010928,Heavy rain,28630.89,41,407
10/27/2007,11/2/2007,std,123.381184,13.357486,Heavy rain,369.1,43,410
10/28/2007,11/10/2007,std,-70.37761,18.877688,"Tropical Storm, Surge",2421.73,70,412
10/28/2007,12/1/2007,std,-92.412998,17.669263,Heavy rain,4259.02,71,414
12/11/2007,1/3/2008,std,34.356451,-19.063406,Heavy rain,1480.82,35,420
12/16/2007,1/1/2008,std,81.39874,7.721921,Heavy rain,407.29,44,421
1/2/2008,1/6/2008,std,106.827557,-6.224835,Heavy rain,1497.68,72,425
1/3/2008,1/9/2008,std,152.869795,-28.442729,Heavy rain,239.23,45,426
1/7/2008,1/16/2008,std,81.75742,6.905842,Heavy rain,301.7,57,427
1/15/2008,1/26/2008,std,-1.647855,52.91582,Heavy rain,2063.1,73,430
2/12/2008,3/12/2008,std,125.935234,8.535518,Heavy rain,707.75,33,436
3/1/2008,4/3/2008,std,112.368479,-7.126871,Heavy rain,1373.8,74,439
5/3/2008,5/22/2008,std,95.971541,16.821377,"Tropical Storm, Surge",8828.35,58,445
5/10/2008,5/18/2008,std,124.997828,7.095196,"Tropical Storm, Surge",430.39,24,446
5/24/2008,5/28/2008,std,93.754969,26.399977,Heavy rain,1825.83,54,448
7/5/2008,7/14/2008,std,90.120056,25.241123,Heavy rain,15148.57,75,451
8/18/2008,9/24/2008,std,84.923215,26.950613,Heavy rain,31158.37,4,463
8/30/2008,9/8/2008,std,90.210026,25.028785,Heavy rain,36459.17,75,468
8/30/2008,9/8/2008,std,94.55033,27.044183,Heavy rain,16973.11,54,469
11/22/2008,12/4/2008,std,80.799315,8.57029,"Tropical Storm, Surge",521.98,76,475
12/13/2008,1/12/2009,std,-58.576642,7.080294,Heavy rain,255.55,51,477
12/28/2008,1/19/2009,otsu,125.039978,8.447826,Heavy rain,1872.05,33,480
1/20/2009,1/27/2009,std,124.958334,7.121116,Heavy rain,977.07,24,482
2/1/2009,2/12/2009,std,-70.083294,19.28092,Heavy rain,265.96,70,486
4/17/2009,4/27/2009,otsu,-95.515298,29.670077,Heavy rain,986.33,13,492
4/20/2009,5/15/2009,std,89.086148,22.163962,Heavy rain,1708.94,77,494
5/10/2009,7/1/2009,std,104.302485,20.673965,Heavy rain,88773.57,78,497
7/3/2009,7/6/2009,std,89.086147,25.256217,Heavy rain,2662.23,9,498
7/3/2009,7/6/2009,std,93.821488,27.481004,Heavy rain,2315.32,54,499
7/25/2009,8/4/2009,std,125.366552,7.651799,Heavy rain,452.42,24,500
8/18/2009,8/27/2009,std,94.142952,26.817651,Heavy rain,7656.3,54,501
10/2/2009,10/17/2009,std,121.422102,17.57569,"Tropical Storm, Surge",1588.22,39,508
1/4/2010,1/13/2010,std,20.082834,41.466448,Heavy rain,1646.03,15,516
2/13/2010,2/20/2010,std,27.338848,41.160287,Heavy rain,2122.63,79,518
3/1/2010,3/17/2010,std,27.736857,-16.091808,Heavy rain,16024.65,22,520
3/27/2010,4/7/2010,std,89.509928,22.152795,Heavy rain,1528.83,77,523
4/18/2010,4/21/2010,otsu,91.862265,26.316584,Heavy rain,10214.39,80,525
5/15/2010,5/24/2010,std,19.644003,49.773614,Heavy rain,794.77,81,531
5/18/2010,5/24/2010,std,-89.563601,14.075249,"Tropical Storm, Surge",780.46,48,535
5/29/2010,6/1/2010,std,125.300141,6.778414,Heavy rain,532.39,24,538
5/29/2010,6/11/2010,std,19.797084,49.671561,Heavy rain,2146.74,81,539
6/6/2010,6/7/2010,std,67.905172,25.117454,"Tropical Storm, Surge",556.48,60,540
6/15/2010,6/26/2010,std,94.010494,22.280362,Heavy rain,5700.96,82,543
6/22/2010,6/26/2010,std,-0.981038,7.93162,Heavy rain,287.79,83,544
6/25/2010,6/27/2010,std,-70.392824,19.254472,Heavy rain,128.04,70,549
7/1/2010,7/13/2010,std,90.035505,23.994863,Heavy rain,12486.48,84,555
7/21/2010,7/23/2010,std,114.010074,22.673269,"Tropical Storm, Surge",156.02,85,557
8/15/2010,10/6/2010,std,-92.249999,17.909999,"Tropical Storm, Surge",5849.91,71,561
9/5/2010,9/17/2010,std,92.250001,26.234999,Heavy rain,9040.6,80,562
9/18/2010,9/30/2010,std,82.845001,26.729999,Heavy rain,13151.71,3,565
9/20/2010,9/30/2010,std,100.350001,14.444999,Heavy rain,4074.6,86,568
10/1/2010,10/12/2010,std,91.035001,24.209999,"Tropical Storm, Surge",28787.18,64,570
11/5/2010,11/11/2010,std,-0.809999,8.279999,Heavy rain,2509.53,83,574
12/3/2010,12/17/2010,std,21.469658,40.106682,Heavy rain,1522.13,87,578
1/1/2011,1/18/2011,std,125.5658,8.132642,Heavy rain,621.9,33,579
2/1/2011,2/14/2011,otsu,80.534153,8.513158,Heavy rain,660.8,76,582
2/1/2011,2/4/2011,std,124.865345,7.095271,Heavy rain,417.36,24,583
3/22/2011,3/28/2011,std,147.327051,-41.421667,Heavy rain,145.79,29,588
3/23/2011,4/10/2011,std,99.277049,8.666488,Heavy rain,1158.19,88,589
6/5/2011,6/21/2011,std,125.208244,8.306337,Heavy rain,763.67,33,592
7/21/2011,7/29/2011,std,89.046349,22.564135,Heavy rain,3653.32,77,593
7/23/2011,7/29/2011,std,-52.640299,-30.342984,Heavy rain,3197.24,69,594
8/5/2011,1/9/2012,std,102.822185,17.0382,"Tropical Storm, Surge",30107.74,68,595
8/10/2011,11/15/2011,std,105.501152,12.004283,"Tropical Storm, Surge",30408.61,2,596
8/15/2011,10/2/2011,std,86.242215,26.375467,Heavy rain,19633.46,89,597
8/15/2011,9/8/2011,std,92.181547,26.589671,Heavy rain,7554.41,80,598
9/5/2011,10/2/2011,std,86.002162,20.651119,Heavy rain,8508.44,30,603
9/28/2011,10/2/2011,otsu,121.54776,17.342998,"Tropical Storm, Surge",647.95,39,604
12/16/2011,12/22/2011,otsu,124.875163,8.526491,"Tropical Storm, Surge",2228.64,33,616
12/20/2011,12/22/2011,std,39.037723,-6.917042,Heavy rain,40.58,90,617
12/18/2011,1/4/2012,otsu,110.236252,-7.379525,Heavy rain,2609.39,91,618
1/1/2012,1/9/2012,otsu,99.423816,8.772281,Heavy rain,2085.11,88,619
1/27/2012,1/29/2012,otsu,112.50974,-7.482774,Heavy rain,401.33,74,624
2/3/2012,2/6/2012,std,21.005618,39.867742,Heavy rain,26.41,87,625
2/12/2012,2/14/2012,otsu,106.658074,-6.318737,Heavy rain,2269.68,72,626
2/20/2012,2/27/2012,otsu,125.264627,8.223924,Heavy rain,1300.6,33,627
2/20/2012,2/27/2012,std,103.415798,-2.585677,Heavy rain,945.53,92,629
3/1/2012,3/26/2012,std,-79.495063,-0.5987,Heavy rain,4324.21,93,632
3/26/2012,3/30/2012,std,123.278367,13.628836,Heavy rain,258.21,43,633
7/13/2012,7/16/2012,std,-95.808654,29.578033,Heavy rain,718.66,13,639
8/16/2012,8/20/2012,std,82.796221,20.985523,Heavy rain,4.63,46,644
9/16/2012,9/18/2012,otsu,76.85692,31.306274,Heavy rain,22198.9,66,655
9/15/2012,10/15/2012,otsu,20.506625,11.078585,Heavy rain,7381.26,28,661
11/4/2012,11/8/2012,std,78.804243,11.828347,"Tropical Storm, Surge",1749.85,49,662
11/20/2012,12/18/2012,otsu,-1.193707,53.456925,Heavy rain,14594.41,73,666
1/4/2013,1/10/2013,std,125.30844,7.256988,Heavy rain,333.24,24,668
1/13/2013,1/22/2013,std,106.729879,-6.179453,Heavy rain,211.5,72,671
12/27/2013,2/7/2014,otsu,-1.511439,53.273185,Heavy rain,16176.88,73,691
4/18/2014,5/1/2014,std,38.968923,-7.193015,Heavy rain,1435.13,90,695
6/17/2014,6/25/2014,std,124.729885,6.771897,Heavy rain,592.67,24,699
6/23/2014,6/25/2014,std,94.716023,27.811455,Heavy rain,201.58,63,700
7/5/2014,7/14/2014,std,174.068419,-35.698936,Heavy rain,197.18,62,702
8/14/2014,9/8/2014,std,86.253746,26.179465,Heavy rain,7580.46,89,706
8/15/2014,9/8/2014,std,94.654164,27.613202,Heavy rain,13152.95,63,708
8/20/2014,9/8/2014,std,90.633346,24.566128,Heavy rain,25826.52,64,709
9/24/2014,10/11/2014,std,92.489108,26.746527,Heavy rain,17583.32,80,713
10/18/2014,10/27/2014,std,-98.431718,21.784523,"Tropical Storm, Surge",1579.96,67,715
12/4/2014,12/14/2014,std,27.710632,41.457879,Heavy rain,4068.64,79,720
12/20/2014,1/1/2015,std,80.983382,7.909725,Heavy rain,591.71,44,722
12/10/2014,1/1/2015,std,124.903089,8.656083,"Tropical Storm, Surge",1079.36,33,724
2/1/2015,2/9/2015,std,26.597174,41.457083,Heavy rain,4129.96,19,728
2/5/2015,2/9/2015,std,122.861751,0.686073,Heavy rain,527.43,59,729
2/20/2015,2/24/2015,std,-69.803492,19.328489,Heavy rain,176.98,70,733
3/15/2015,3/23/2015,std,108.399177,-6.55868,Heavy rain,977.53,34,735
6/2/2015,6/29/2015,std,93.874744,26.919545,Heavy rain,6518.62,54,741
7/15/2015,8/19/2015,std,72.27367,34.343166,Heavy rain,4892.08,61,743
7/16/2015,7/21/2015,std,-58.743148,6.665761,Heavy rain,44.01,51,745
7/15/2015,8/19/2015,std,95.532558,20.174691,Heavy rain,4388.13,26,749
8/13/2015,9/11/2015,std,93.751026,26.894603,Heavy rain,12696.49,54,750
9/7/2015,9/11/2015,std,104.761883,20.566882,Heavy rain,1007.61,78,751
8/30/2015,9/11/2015,std,11.528384,9.952668,Heavy rain,1179.25,65,752
10/22/2015,10/28/2015,std,121.241052,16.691018,"Tropical Storm, Surge",1205.14,27,753
10/14/2015,10/28/2015,std,-53.571757,-29.956828,Heavy rain,10859.78,31,754
11/10/2015,12/4/2015,std,78.855441,11.827777,"Tropical Storm, Surge",2365.66,49,757
1/19/2016,1/29/2016,std,-79.700891,-0.786333,Heavy rain,1277.72,93,766
1/18/2016,3/10/2016,std,103.351503,-2.465434,Heavy rain,2724.28,92,769
3/8/2016,3/25/2016,std,-96.10583,30.908557,Heavy rain,10794.4,38,772
4/12/2016,5/11/2016,std,-56.194568,-32.434709,Heavy rain,22756.05,8,776
4/20/2016,5/1/2016,std,95.606788,27.463976,Heavy rain,7337.34,63,777
6/17/2016,6/24/2016,std,110.032248,-7.476875,Heavy rain,1002.7,91,780
6/1/2016,8/16/2016,std,95.260379,18.315771,Heavy rain,10414.75,53,781
7/25/2016,8/26/2016,std,90.039502,24.095044,Heavy rain,37798.41,84,786
10/6/2016,10/16/2016,std,100.394655,14.866708,Heavy rain,2416.57,86,791
12/1/2016,12/7/2016,std,100.753436,14.444781,Heavy rain,2958.0,86,793
12/31/2016,2/7/2017,std,100.060618,7.304939,Heavy rain,1137.85,50,796
3/30/2017,4/18/2017,otsu,90.682833,24.317835,Heavy rain,7006.88,64,804
6/2/2017,7/3/2017,std,94.938714,27.613121,Heavy rain,5973.76,63,809
6/12/2017,6/14/2017,std,125.249498,7.76344,Heavy rain,608.6,24,810
8/10/2017,8/26/2017,std,79.076049,28.16566,Heavy rain,22260.03,47,815
8/23/2017,8/26/2017,std,114.138854,22.385119,"Tropical Storm, Surge",202.12,85,817
9/8/2017,9/19/2017,std,-81.625156,28.594245,"Tropical Storm, Surge",9990.79,42,818
2/26/2018,3/2/2018,std,22.53924,39.686804,Heavy rain,571.86,18,823
3/21/2018,3/24/2018,std,-121.121506,37.911751,Heavy rain,988.7,52,826
3/25/2018,4/8/2018,std,26.671405,41.531705,Heavy rain,2818.83,19,829
6/15/2018,6/20/2018,otsu,93.8747,21.9855,Heavy rain,5176.24,82,832
8/2/2018,8/10/2018,otsu,94.1222,27.2914,Heavy rain,24544.67,54,839
7/15/2018,8/10/2018,otsu,95.4336,18.1914,Heavy rain,6465.2,53,840
